"","p.values.treatment_p.values","p.values.treatment.1_p.values","p.values.treatment_adjusted.p.values","p.values.treatment.1_adjusted.p.values","p.values.treatment_q.values","p.values.treatment.1_q.values","post.hoc.5mM.Glucose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.5mM.Glucose"
"z.C30.FAME.internal.standard",0.176967477379991,0.455868221730858,0.455868221730858,0.997798249055363,0.304343970772244,0.861674235021271,0.206664575387165,0.281779283045005,0.981864668273323
"z.C28.FAME.internal.standard",0.329033271076432,0.614962298276923,0.614962298276923,0.997798249055363,0.416950430377644,0.893654208907259,0.579763714432235,0.31056563130345,0.884345615221757
"z.C26.FAME.internal.standard",0.433402611646708,0.710553889132487,0.710553889132487,0.997798249055363,0.483392952206499,0.906625127275636,0.986934332905707,0.459597669586742,0.553459871822132
"z.C24.FAME.internal.standard",0.278116852768562,0.563230355921238,0.563230355921238,0.997798249055363,0.384071712652453,0.885009685367789,0.656794629726524,0.247157424849319,0.742940492070388
"z.C22.FAME.internal.standard",0.0764321701024543,0.282886882448164,0.282886882448164,0.997798249055363,0.192310093826482,0.794474224920572,0.567980845532227,0.0616903349458964,0.407136779775298
"z.C20.FAME.internal.standard",0.0451958440036205,0.199357010536518,0.199357010536518,0.879355580722723,0.135137583671635,0.731482895665645,0.462515568768708,0.0348366764370708,0.371256266487617
"z.C18.FAME.internal.standard",0.155864694031588,0.416725545635313,0.416725545635313,0.997798249055363,0.284196570643327,0.850622251967532,0.567681315284871,0.131592278179591,0.620116681800209
"z.C16.FAME.internal.standard",0.127055691439331,0.385961628711929,0.385961628711929,0.997798249055363,0.257366967300479,0.840613503624863,0.863703105598964,0.123044142614799,0.31115690382128
"z.C14.FAME.internal.standard",0.145493178069272,0.410954415248294,0.410954415248294,0.997798249055363,0.275177940558522,0.848841596911426,0.537310057824289,0.122445225132164,0.628384283330256
"z.C12.FAME.internal.standard",0.139678578081309,0.405193712992625,0.405193712992625,0.997798249055363,0.269821287724953,0.847021312022172,0.795847060321121,0.126423050663775,0.384237752591893
"z.C10.FAME.internal.standard",0.167942667698452,0.439654788608955,0.439654788608955,0.997798249055363,0.295958162329856,0.857301032356029,0.609184292997795,0.142492418875804,0.603712227044631
"z.C09.FAME.internal.standard",0.102692942133585,0.351777950712921,0.351777950712921,0.997798249055363,0.229551818648167,0.827792466198936,0.414588578342491,0.085940269364873,0.652472148751171
"z.C08.FAME.internal.standard",0.100188726879586,0.350557445764509,0.350557445764509,0.997798249055363,0.226362820238048,0.82729645251492,0.245199975994894,0.102290246225593,0.890637923641066
"xylulose.NIST",1.24873625324827e-10,5.0261634193243e-09,5.0261634193243e-09,2.02303077627803e-07,3.43509141145253e-09,1.8850785409955e-07,0.388164403273553,1.05164336905439e-07,3.88251319982658e-10
"valine",0.12416354554945,0.383932630492383,0.383932630492383,0.997798249055363,0.25434104694305,0.839906032260554,0.868244912919858,0.121066125556656,0.302852568465868
"urea",0.661974380797987,0.875954001500046,0.875954001500046,0.997798249055363,0.588339965999761,0.922897008309112,0.999953562450532,0.7082362472405,0.71384256669824
"uracil",0.346959418496764,0.62413928913943,0.62413928913943,0.997798249055363,0.428270266394737,0.89505375821578,0.313555395166571,0.761840185158259,0.72759531960018
"UDP.N.acetylglucosamine",1.16269563698852e-07,2.49591996740202e-06,2.49591996740202e-06,5.35790819668966e-05,1.68144029127227e-06,4.86809410485915e-05,0.00225159615923642,0.0157237350305013,5.59446960979315e-08
"UDP.glucuronic.acid",0.0150265269032429,0.0916238978712445,0.0916238978712445,0.548851748489524,0.0611560511969996,0.555953189612034,0.0116778293544341,0.511587558458299,0.161824025582373
"tyrosine",0.00734804020037859,0.0525793098782646,0.0525793098782646,0.376234172906693,0.0359349111269465,0.418090912954915,0.994265562678551,0.0151071352695418,0.0198824327894812
"tryptophan",0.00487411176457132,0.0435962218942213,0.0435962218942213,0.364704741176269,0.0273575679345266,0.373327617015068,0.707326751032583,0.00495457471574567,0.0428944855088031
"trans.4.hydroxyproline",0.97718930933776,0.99073652639335,0.99073652639335,0.997798249055363,0.678428820541177,0.931215392496207,0.994087328918096,0.993218699574693,0.974890360144074
"threonine",0.00692380348037571,0.0521190149902352,0.0521190149902352,0.376234172906693,0.0346244327989996,0.415953248127269,0.761863540820608,0.047811941368255,0.00739079204572202
"taurine",0.179084966794796,0.457661581808922,0.457661581808922,0.997798249055363,0.306253298604417,0.862141544612049,0.265295148234235,0.221197103577858,0.993721778489525
"tagatose",0.388609109083441,0.662074778438456,0.662074778438456,0.997798249055363,0.45622591225381,0.90046845372694,0.36657457260472,0.88810878497866,0.643888848512429
"sucrose",0.975278295730412,0.99073652639335,0.99073652639335,0.997798249055363,0.678001608914992,0.931215392496207,0.983941847332305,0.999164208833722,0.975916857053781
"succinic.acid",0.34013461682396,0.619585482672321,0.619585482672321,0.997798249055363,0.423495130311372,0.894363908496196,0.501739742275645,0.348973166265295,0.960721837045262
"stearic.acid",0.435538853928363,0.710553889132487,0.710553889132487,0.997798249055363,0.484620917478721,0.906625127275636,0.864022635820479,0.40638990307091,0.720750015864109
"sorbitol",9.14609732435142e-27,1.47252166922058e-24,1.47252166922058e-24,2.37075988744513e-22,1.00638322257285e-24,2.2090957004114e-22,0.00788019469985235,0,0
"sophorose",0.156595624291531,0.416725545635313,0.416725545635313,0.997798249055363,0.284807759580803,0.850622251967532,0.289500705337202,0.16989659734497,0.949810735816869
"serine",5.12990280865661e-05,0.000635318732456704,0.000635318732456704,0.00786817814811764,0.000434203534450602,0.00860673306254604,0.392942867015265,4.75204141928698e-05,0.00398786199423629
"salicylaldehyde",0.225110563201982,0.514082279085378,0.514082279085378,0.997798249055363,0.344774031010949,0.875386146019217,0.973645374935156,0.35182826050624,0.248348456940253
"saccharic.acid",0.938536155919369,0.970076885806482,0.970076885806482,0.997798249055363,0.669561316486499,0.929853250815197,0.935810694874787,0.967883007560789,0.994089794090908
"ribulose.5.phosphate",0.11031013886647,0.366184172319622,0.366184172319622,0.997798249055363,0.238847847897891,0.833438928741405,0.24236585592822,0.921191463969571,0.117306851551358
"ribose.5.phosphate",0.00051389076715885,0.00570595955259137,0.00570595955259137,0.0633558267563594,0.00389969267171922,0.0723306865311456,0.000310285205543326,0.141026569790079,0.079387132950976
"ribose",7.08832024818707e-10,2.5360434665736e-08,2.5360434665736e-08,9.07339995818554e-07,1.73323873585241e-08,8.45467689152664e-07,0.544324322137155,2.35953337202055e-07,3.00135638564569e-09
"ribitol",0.337553714557514,0.619585482672321,0.619585482672321,0.997798249055363,0.421994048051746,0.894363908496196,0.73492060934685,0.743083828154435,0.304135151682441
"pyrophosphate",0.038758606829172,0.178289591414191,0.178289591414191,0.82013212050528,0.120771928685399,0.708987387399812,0.114479050398239,0.907886921958693,0.0447880814065886
"putrescine",0.753791407957351,0.912484335948372,0.912484335948372,0.997798249055363,0.619398495969567,0.92575456808325,0.852556392834381,0.980952615769566,0.749281109553527
"propane.1.3.diol.NIST",0.362691746021792,0.632281229485457,0.632281229485457,0.997798249055363,0.439161326996502,0.896264972381502,0.611877625412817,0.890818400547912,0.343130089741882
"proline",0.411739342672968,0.686943359278217,0.686943359278217,0.997798249055363,0.470601631713397,0.903724773237969,0.38440231803476,0.868172431376344,0.691088393807721
"phosphoethanolamine",0.661533297088527,0.875954001500046,0.875954001500046,0.997798249055363,0.588178523758414,0.922897008309112,0.791742881446817,0.655972679350294,0.972321468535111
"phosphoenolpyruvate",0.160691364290194,0.424119830339691,0.424119830339691,0.997798249055363,0.288914025114386,0.852843324552896,0.785734625970869,0.143976908289073,0.43074295733169
"phosphate",0.287055454886725,0.570567015268676,0.570567015268676,0.997798249055363,0.389949488365626,0.886320205223928,0.543690510994308,0.869211383846925,0.268916336536597
"phenylalanine",0.173246113920199,0.449881037760517,0.449881037760517,0.997798249055363,0.300935577243146,0.860090901709278,0.9978560181293,0.248165404947683,0.222945993457931
"pentadecanoic.acid",0.533123358945607,0.801615997967632,0.801615997967632,0.997798249055363,0.535100441244662,0.916344995178832,0.855701701416456,0.823916555437002,0.501360631968438
"pelargonic.acid",0.753252522713623,0.912484335948372,0.912484335948372,0.997798249055363,0.619229887996769,0.92575456808325,0.956178024721961,0.736207902353465,0.889124609390466
"pantothenic.acid",0.81898397709723,0.938147756220304,0.938147756220304,0.997798249055363,0.638750431006866,0.927638615588497,0.990277163434859,0.885914490729988,0.819277273895765
"palmitoleic.acid",0.108938059115495,0.365396406616557,0.365396406616557,0.997798249055363,0.237216648490202,0.83313975452631,0.154698741910745,0.166028075715213,0.999247438103081
"palmitic.acid",0.13483469263233,0.394697918432819,0.394697918432819,0.997798249055363,0.265181080012437,0.843589585849093,0.806975480933063,0.123238241550957,0.366727544335064
"oxoproline",0.556661280263774,0.808281994759339,0.808281994759339,0.997798249055363,0.545830296522903,0.916977629668901,0.966248670823993,0.55374528571383,0.709540096193861
"ornithine",0.268069599022976,0.554940816821164,0.554940816821164,0.997798249055363,0.377227801673926,0.883492119124806,0.822821918358567,0.564538451529654,0.244330749080162
"oleic.acid",0.732372716236472,0.907873101211309,0.907873101211309,0.997798249055363,0.612579914461241,0.925405593385232,0.986140275237658,0.825132149544797,0.734270614890945
"oleamide.NIST",0.311680081035268,0.604584253574436,0.604584253574436,0.997798249055363,0.406240899584103,0.892025826356383,0.805361508258371,0.639740865444583,0.282572877985561
"octanol.NIST",0.909714438737232,0.970076885806482,0.970076885806482,0.997798249055363,0.662624295581024,0.929853250815197,0.917951398935704,0.932292159571017,0.999223466635109
"octadecanol",0.0626039836609885,0.248842687423561,0.248842687423561,0.977162748175447,0.168742512648671,0.772746146039811,0.700443940620128,0.053989087330918,0.271372818908694
"N.methylalanine",0.11471112396233,0.373100827433032,0.373100827433032,0.997798249055363,0.243957852991374,0.836020358232937,0.964534703107995,0.133808344350356,0.216516072580751
"N.acetylgalactosamine",0.0146271239296829,0.0916238978712445,0.0916238978712445,0.548851748489524,0.0600546562881639,0.555953189612034,0.785598376368465,0.0781620439445356,0.0151205439369856
"N.acetylaspartic.acid",0.00544052437014114,0.0453049367920831,0.0453049367920831,0.364704741176269,0.0295377359128597,0.382365001664129,0.0141798925432977,0.999265347495925,0.0128232995543421
"myristic.acid",0.537729986214312,0.801615997967632,0.801615997967632,0.997798249055363,0.537240109194415,0.916344995178832,0.882766430517577,0.508171925910838,0.799237732124912
"myo.inositol",0.129538016972206,0.389824686589254,0.389824686589254,0.997798249055363,0.259910872273826,0.841943334045405,0.266165252239041,0.137900157629164,0.930424145942755
"methionine",0.0906165362117431,0.32420582955757,0.32420582955757,0.997798249055363,0.213513735122214,0.815844095707441,0.754705155690232,0.0805337604671048,0.311162832022121
"methanolphosphate",0.932079212503054,0.970076885806482,0.970076885806482,0.997798249055363,0.668032123180986,0.929853250815197,0.999891775916089,0.945909682149487,0.941185789480445
"malic.acid",0.254615040522036,0.546573620320637,0.546573620320637,0.997798249055363,0.367645139219155,0.881919167429563,0.256340200522285,0.43580471924986,0.933235558162358
"lysine",0.442569922228701,0.712537574788208,0.712537574788208,0.997798249055363,0.488621644417097,0.906860868625952,0.951289938249183,0.622807430336849,0.438627019655479
"leucine",0.201987162589568,0.4782343114253,0.4782343114253,0.997798249055363,0.325610367325207,0.867284898167352,0.863887501392235,0.190740383785555,0.431559491815585
"lauric.acid",0.764396296614452,0.918416445932289,0.918416445932289,0.997798249055363,0.622686463071017,0.926198732192836,0.863895024715927,0.758010906953892,0.979289254951946
"lactic.acid",0.0631198173685622,0.248842687423561,0.248842687423561,0.977162748175447,0.169637545416879,0.772746146039811,0.0530503686817591,0.295919491934347,0.662504198736498
"isothreonic.acid",2.74159516068005e-06,4.41396820869488e-05,4.41396820869488e-05,0.000690072348321531,2.90750948434353e-05,0.000632957815367979,0.000328942662405907,0.445296565534334,3.67454127669919e-06
"isoleucine",0.063369876921528,0.248842687423561,0.248842687423561,0.977162748175447,0.170069555455553,0.772746146039811,0.99890533267604,0.107419184781143,0.0977832693172966
"inositol.4.monophosphate",0.245420972975992,0.542577927640258,0.542577927640258,0.997798249055363,0.360804007067355,0.881152934778718,0.301708933002539,0.325664378845458,0.998660618766917
"hydroxylamine",0.449136589409708,0.713803887424168,0.713803887424168,0.997798249055363,0.492302433169904,0.907010735842961,0.656357210076723,0.435648149380326,0.931217162251906
"hydroquinone",0.5374982015508,0.801615997967632,0.801615997967632,0.997798249055363,0.53713292144244,0.916344995178832,0.511190494675361,0.903098061310735,0.776080075181216
"homoserine",0.14725255516754,0.412307154469111,0.412307154469111,0.997798249055363,0.276754893215933,0.849262776771178,0.286531275772903,0.938061380843814,0.157011226471202
"hexose.6.phosphate",7.06732100339099e-09,2.06879760281082e-07,2.06879760281082e-07,6.05593480095531e-06,1.38339057929098e-07,5.34812778439459e-06,3.22078830816697e-06,0.390151258002123,1.57824669999584e-08
"hexitol",0.891727337405126,0.970076885806482,0.970076885806482,0.997798249055363,0.658145463330243,0.929853250815197,0.991045613201351,0.939702391443305,0.888397844152946
"heptadecanoic.acid",0.330398998763689,0.614962298276923,0.614962298276923,0.997798249055363,0.41776809873009,0.893654208907259,0.48834118547469,0.962632639707003,0.341075257375828
"glycolic.acid",0.258477027376634,0.548353167937533,0.548353167937533,0.997798249055363,0.370446538371338,0.882257250870145,0.232453839242801,0.578784932012146,0.79426759483186
"glycine",0.00559483006484842,0.0453049367920831,0.0453049367920831,0.364704741176269,0.0301071654180425,0.382365001664129,0.995776346622208,0.015592095040569,0.0122557059842788
"glycerol.alpha.phosphate",1.33959620900648e-08,3.31807676384681e-07,3.31807676384681e-07,8.21862090737441e-06,2.26350892243115e-07,7.50866437638039e-06,6.89625789807025e-09,0.0183208530935226,0.000354481191224387
"glutathione",0.228855316342957,0.51666931553103,0.51666931553103,0.997798249055363,0.347829537119929,0.875932692296581,0.867370949394225,0.215654081093553,0.467273645427296
"glutamine",0.897471672478812,0.970076885806482,0.970076885806482,0.997798249055363,0.659588686727815,0.929853250815197,0.902849129174762,0.997808976798635,0.928197905932869
"glutamic.acid",0.827344689536219,0.938147756220304,0.938147756220304,0.997798249055363,0.641090796480707,0.927638615588497,0.825868804737702,0.989185055752233,0.894714932266403
"glucose.6.phosphate",1.01887777061074e-08,2.73398868447214e-07,2.73398868447214e-07,7.33620297000024e-06,1.84982153321236e-07,6.569706787383e-06,7.71538806176864e-08,0.861234720371374,6.35028909568014e-07
"glucose.1.phosphate",5.31426997016652e-06,7.77815877451645e-05,7.77815877451645e-05,0.00113843960245195,5.31592074792659e-05,0.00106173506629943,2.75937372361534e-05,0.969818403760408,6.57026372276048e-05
"glucose",0.0037061530119306,0.0350994491129898,0.0350994491129898,0.332412429834786,0.0223615248182131,0.324152673643066,0.00723685802052521,0.0136702816336881,0.972498287747865
"glucosaminic.acid",0.923524635759275,0.970076885806482,0.970076885806482,0.997798249055363,0.665984217081077,0.929853250815197,0.92907739679241,0.944640170898068,0.998935246818146
"glucosamine.NIST",0.655540475159975,0.875867356852747,0.875867356852747,0.997798249055363,0.585972460010853,0.922889969088884,0.709063262787421,0.999918600489846,0.701615445427474
"gluconic.acid",0.195963979201816,0.474574712270943,0.474574712270943,0.997798249055363,0.320737988332799,0.866398218355101,0.200858036905396,0.93075609370729,0.361881909515461
"glucoheptulose",6.15966771428691e-07,1.10189611333355e-05,1.10189611333355e-05,0.000197116971385224,7.53082134311873e-06,0.000183675392970513,0.0124605954455869,0.00982727432061359,2.94511111720297e-07
"fumaric.acid",0.134645272040859,0.394697918432819,0.394697918432819,0.997798249055363,0.264996207267076,0.843589585849093,0.12643909032198,0.343633750953118,0.837539689551739
"fructose.6.phosphate",1.68625579306826e-08,3.87838832405699e-07,3.87838832405699e-07,8.92029314533107e-06,2.65065365185381e-07,8.312010565944e-06,9.23489220649998e-07,0.872492005161724,1.24490143638134e-07
"fructose.1.phosphate",1.26120838390906e-24,1.01527274904679e-22,1.01527274904679e-22,8.17294562982667e-21,6.93880084981659e-23,7.61562533015654e-21,0.000348972269806902,0,0
"fructose",2.14498419781449e-27,6.90684911696265e-25,6.90684911696265e-25,2.22400541566197e-22,4.72043109276113e-25,2.07234854421512e-22,0.688540182353566,0,0
"erythritol",0.0627250160347801,0.248842687423561,0.248842687423561,0.977162748175447,0.168952987211613,0.772746146039811,0.963864960322439,0.0788421757212638,0.13571896520082
"dodecanol",0.131494593161117,0.392048694424811,0.392048694424811,0.997798249055363,0.261882289130078,0.842698915957908,0.248103075049021,0.147581948850313,0.956158299159883
"cytidine.5.monophosphate",0.153787428566051,0.416725545635313,0.416725545635313,0.997798249055363,0.282442574333906,0.850622251967532,0.137082953117778,0.425740926472999,0.776503069590137
"cysteine",0.544267979938354,0.807623454102073,0.807623454102073,0.997798249055363,0.540243257500717,0.916915557325706,0.596273316592462,0.999575472687026,0.613705153051444
"creatinine",0.0187520240954563,0.104106064805809,0.104106064805809,0.577968152887423,0.0705732122938457,0.587216956102544,0.112819129145838,0.0173542773789609,0.714397127662035
"citrulline",0.00214725078905785,0.0224700672569006,0.0224700672569006,0.233398763120065,0.014396233588077,0.234916663188705,0.264682692208239,0.100707979965633,0.00142648586926464
"citric.acid",0.0208222304083764,0.111745969858287,0.111745969858287,0.589925957743538,0.0752179684306046,0.6042702854673,0.0152208910520476,0.294004999159464,0.370436403673403
"citramalic.acid",0.10740098415479,0.364032809450973,0.364032809450973,0.997798249055363,0.235367148085205,0.832619345359611,0.355691592236062,0.0944181850854769,0.745639884744483
"cholesterol",0.209254496317247,0.484747826001104,0.484747826001104,0.997798249055363,0.331297046055964,0.868834274111452,0.626461105726494,0.180952016594975,0.664881933671284
"capric.acid",0.394449542988442,0.668488172854096,0.668488172854096,0.997798249055363,0.459928991024817,0.901329127121851,0.691955144243462,0.84989718327321,0.365335917376854
"bisphosphoglycerol.NIST",1.93370112717779e-07,3.8915735184453e-06,3.8915735184453e-06,7.83179170587116e-05,2.63305023949858e-06,7.16368110032013e-05,1.0125526173077e-07,0.00153785477865431,0.0314947695721625
"beta.glycerolphosphate",0.901613863319619,0.970076885806482,0.970076885806482,0.997798249055363,0.660621844002763,0.929853250815197,0.947221301355773,0.990863090860383,0.897728920568723
"beta.alanine",0.776850567855705,0.926466232776064,0.926466232776064,0.997798249055363,0.626476013287534,0.926793026219548,0.764600032276358,0.970091423982893,0.887984180245707
"benzoic.acid",0.125195422986647,0.383932630492383,0.383932630492383,0.997798249055363,0.255428442452785,0.839906032260554,0.149329807813263,0.975109591489139,0.221732313935803
"aspartic.acid",0.478843897492701,0.737740358816506,0.737740358816506,0.997798249055363,0.508312959432459,0.909755557392571,0.874129192930785,0.753343214619916,0.449486168435317
"asparagine",0.474496304647218,0.734556779309636,0.734556779309636,0.997798249055363,0.506033227265757,0.909399872282424,0.963924216391345,0.635674157232614,0.475856000628636
"alpha.ketoglutarate",0.025565433364702,0.128626086616157,0.128626086616157,0.647149998287539,0.0872936758341816,0.637370998553659,0.677408447673793,0.0223695893437391,0.154044294670809
"alpha.aminoadipic.acid",0.0042849367362337,0.03942141797335,0.03942141797335,0.36267704535482,0.0249275977327513,0.350093385998108,0.0321118531204144,0.00489067910369023,0.774641774357173
"alanine",0.553239339581235,0.808281994759339,0.808281994759339,0.997798249055363,0.544301263288206,0.916977629668901,0.774250395458708,0.916727243068002,0.529447610329781
"adipic.acid",0.229452522114712,0.51666931553103,0.51666931553103,0.997798249055363,0.348312508640446,0.875932692296581,0.477768381744329,0.857058080466278,0.214372240434771
"adenosine.5.monophosphate",0.0591473451190653,0.245649000730352,0.245649000730352,0.977162748175447,0.162607271380558,0.770469769154544,0.531900089769299,0.374718560890755,0.0468410236856925
"adenosine",0.557262741728488,0.808281994759339,0.808281994759339,0.997798249055363,0.54609798922889,0.916977629668901,0.794771000055269,0.530293969375233,0.902373269137432
"adenine",0.836175174022445,0.938147756220304,0.938147756220304,0.997798249055363,0.643529958378337,0.927638615588497,0.836583752731403,0.991413840396007,0.896877405444782
"X5..deoxy.5..methylthioadenosine",0.196116056790332,0.474574712270943,0.474574712270943,0.997798249055363,0.320862845079554,0.866398218355101,0.649035395011856,0.618699725480729,0.168623914756573
"X3.6.anhydro.D.galactose",0.0170229155009892,0.0978817641306877,0.0978817641306877,0.562820143751455,0.0663851402824845,0.572197419962808,0.077544903892978,0.0185640142771414,0.829421833059822
"X3.phosphoglycerate",1.38069763080336e-06,2.33991914272991e-05,2.33991914272991e-05,0.000396554717873174,1.59919912667015e-05,0.000367716698599587,0.203171235329228,1.16050603915507e-06,0.000672660136087133
"X3.hydroxy.3.methylglutaric.acid",0.0122011228378967,0.0822042851606757,0.0822042851606757,0.548851748489524,0.0529245020940111,0.529034651899801,0.0114725138443728,0.702996603366897,0.0851603316206525
"X3.aminoisobutyric.acid",0.663766386229849,0.875954001500046,0.875954001500046,0.997798249055363,0.588994563070697,0.922897008309112,0.655952751934017,0.798730393340959,0.969228533079341
"X2.ketoisocaproic.acid",0.895418185972459,0.970076885806482,0.970076885806482,0.997798249055363,0.659074164412226,0.929853250815197,0.898708183623464,0.996697034005392,0.929985377528356
"X2.hydroxyglutaric.acid",2.9350903283997e-06,4.50047183687955e-05,4.50047183687955e-05,0.000690072348321531,3.07581168071676e-05,0.000643015712271356,2.84103272008007e-06,0.291318668033309,0.000707682478694238
"X1.2.4.benzenetriol",0.948094455651135,0.975355957570816,0.975355957570816,0.997798249055363,0.671799313368383,0.930206418782831,0.996344057717145,0.946923601888568,0.970487872713979
"X1.2.cyclohexanedione",0.0150031883475971,0.0916238978712445,0.0916238978712445,0.548851748489524,0.061092221856052,0.555953189612034,0.953486330282301,0.0461812450936943,0.0220519012257429
"X1.monostearin",0.32826675263575,0.614962298276923,0.614962298276923,0.997798249055363,0.416489944036887,0.893654208907259,0.364342796678408,0.439876169892511,0.989838124284661
"X1.monopalmitin",0.500211385613837,0.766990791274549,0.766990791274549,0.997798249055363,0.51921828507624,0.912897401115865,0.566492294031511,0.561640727731093,0.999966669433038
"X1.hexadecanol",0.98145980357742,0.99073652639335,0.99073652639335,0.997798249055363,0.67937941466431,0.931215392496207,0.981006774005108,0.998691933851527,0.989586797779761
"X.2.5.dihydroxypyrazine.NIST",0.367194378614225,0.632281229485457,0.632281229485457,0.997798249055363,0.442202418961371,0.896264972381502,0.346459500398268,0.621007381952217,0.887187832859835
"X87950",0.591575029486905,0.835469997784138,0.835469997784138,0.997798249055363,0.560863871921606,0.919461765010703,0.8694373345968,0.561547157442491,0.859827880414219
"X87948",0.316783479553052,0.610804074347802,0.610804074347802,0.997798249055363,0.409453435466896,0.893007689668616,0.496933205949638,0.318658605313194,0.944515399455301
"X5990",0.773314863483929,0.925678015025372,0.925678015025372,0.997798249055363,0.62540793896567,0.926735257279119,0.961647102631156,0.757850972000357,0.896967962236372
"X54",0.449590649135404,0.713803887424168,0.713803887424168,0.997798249055363,0.492554987905278,0.907010735842961,0.850539848335367,0.418271623519958,0.749699697700515
"X307",0.320803537861634,0.6115714379615,0.6115714379615,0.997798249055363,0.411946583209222,0.893127589915913,0.733194655801568,0.723788284784584,0.287733122542983
"X2430",0.920028123808639,0.970076885806482,0.970076885806482,0.997798249055363,0.665139883830452,0.929853250815197,0.976599778511299,0.912236092732745,0.97792897940625
"X1872",0.882103703064514,0.970076885806482,0.970076885806482,0.997798249055363,0.655699972823158,0.929853250815197,0.99775529447189,0.916211385310923,0.888953100171882
"X1815",0.261057183734873,0.548353167937533,0.548353167937533,0.997798249055363,0.372295028096135,0.882257250870145,0.855384349964691,0.242723792319976,0.523240082816138
"X110",0.757728142581306,0.913814464086819,0.913814464086819,0.997798249055363,0.620625717569281,0.925854625201723,0.859978678510707,0.751116164125611,0.978501096025122
"X2233",0.360947138506064,0.632281229485457,0.632281229485457,0.997798249055363,0.437974081585665,0.896264972381502,0.547604238541493,0.359123320242609,0.943541978925068
"X88041",0.0412488542557302,0.18707226859641,0.18707226859641,0.848412260394986,0.126470529281684,0.718808083485153,0.665784267906866,0.0350673022520743,0.220501950623032
"X1812",0.0466730467768122,0.203090825163967,0.203090825163967,0.883719536524288,0.138271849379878,0.735111903107127,0.122470127286843,0.0555279893758414,0.930591155734621
"X42445",0.363656448804485,0.632281229485457,0.632281229485457,0.997798249055363,0.439815678188016,0.896264972381502,0.989941395996384,0.398349656729652,0.476413824357676
"X42016",0.36117189901334,0.632281229485457,0.632281229485457,0.997798249055363,0.438127318263604,0.896264972381502,0.63375482696639,0.337179248032716,0.869182869023231
"X88043",0.350814349966151,0.627567892717225,0.627567892717225,0.997798249055363,0.430977869860094,0.895567235984177,0.318204271156809,0.706650952323049,0.787205388969762
"X88050",0.752523425114274,0.912484335948372,0.912484335948372,0.997798249055363,0.619001527900465,0.92575456808325,0.841038647279283,0.986412303140826,0.753239035157937
"X88046",0.465023776686018,0.726881825693678,0.726881825693678,0.997798249055363,0.500992195501854,0.908530750988448,0.471186490912224,0.617328625791613,0.96955705965979
"X88045",0.0208020551371632,0.111745969858287,0.111745969858287,0.589925957743538,0.075174503272793,0.6042702854673,0.0156105718770984,0.234569541540249,0.452180960454582
"X88054",0.220694660109181,0.507597718251117,0.507597718251117,0.997798249055363,0.341109853679826,0.873994797011048,0.241499285570334,0.969740782932919,0.351566633776645
"X88052",0.309212862827447,0.60343358685114,0.60343358685114,0.997798249055363,0.404668380983708,0.891842202973843,0.890917532295812,0.548825061742541,0.29388696642394
"X17541",0.473084385493567,0.734556779309636,0.734556779309636,0.997798249055363,0.505288309721545,0.909399872282424,0.670142795300535,0.461103500604375,0.93895167528059
"X88059",1.11296053688743e-25,1.19457764292584e-23,1.19457764292584e-23,1.28218000340707e-21,8.16424588534257e-24,1.19474702928792e-21,0.811915860587364,0,0
"X87947",1.3937502219249e-12,8.97575142919637e-11,8.97575142919637e-11,5.78038392040246e-09,6.13440592226313e-11,5.38621449304566e-09,0.139133545724003,1.07646979108367e-08,0
"X1704",0.33428577371418,0.618620799631988,0.618620799631988,0.997798249055363,0.420075736088288,0.894216604279394,0.587256516965885,0.315144223235088,0.883186545310759
"X42007",0.0701380808575008,0.268862643287086,0.268862643287086,0.997798249055363,0.181951138698489,0.786047401831008,0.695584386368157,0.296080874179577,0.0601222568223198
