"","p.values.Phenotype_p.values","p.values.Gender_p.values","FDR.p.values.Phenotype_p.values","FDR.p.values.Gender_p.values","p.values.Phenotype_adjusted.p.values","p.values.Gender_adjusted.p.values","FDR.p.values.Phenotype_adjusted.p.values","FDR.p.values.Gender_adjusted.p.values","p.values.Phenotype_q.values","p.values.Gender_q.values","FDR.p.values.Phenotype_q.values","FDR.p.values.Gender_q.values"
"X1.6.Anhydro.beta.D.glucose",0.000257780941569245,0.171091479007415,0.00695683847430182,0.353845837538237,0.00695683847430182,0.353845837538237,0.0382438415094152,0.699355892225191,0.000483370600001281,0.166870854923594,0.00277572631130089,0.444391411016472
"X1.Methylnicotinamide",0.36931524275151,0.539794857460454,0.401152763678364,0.666805412157032,0.401152763678364,0.666805412157032,0.435734898478223,0.823700803252804,0.0278726396749988,0.330691739008045,0.0316255055643472,0.537510507986043
"X2.Aminobutyrate",0.00940941861446938,0.123606174909228,0.0219553101004286,0.317154217772852,0.0219553101004286,0.317154217772852,0.0461264927870655,0.699355892225191,0.00146050712910851,0.148752767132301,0.00334768374836608,0.444391411016472
"X2.Hydroxyisobutyrate",0.0460123831627194,0.0946952471728434,0.0711891455276504,0.28408574151853,0.0711891455276504,0.28408574151853,0.106783718291476,0.699355892225191,0.00469189545179071,0.135006507009704,0.00736253334480884,0.444391411016472
"X2.Oxoglutarate",0.34003917741213,0.650235698832246,0.37583277503446,0.758608315304287,0.37583277503446,0.758608315304287,0.415394119774929,0.871540124032095,0.0259379692913829,0.373106596277022,0.0299055249329401,0.569377493478081
"X3.Aminoisobutyrate",0.226398908342276,0.0805187748507459,0.259329658646607,0.275226010060684,0.259329658646607,0.275226010060684,0.297050336267931,0.699355892225191,0.0180185774272584,0.126226039968022,0.0215598224868881,0.444391411016472
"X3.Hydroxybutyrate",0.0060390046908612,0.223506192991167,0.0190228647762128,0.4023111473841,0.0190228647762128,0.4023111473841,0.0461264927870655,0.70690592077813,0.0011786534589331,0.191567728181613,0.0032916687050553,0.449815114556627
"X3.Hydroxyisovalerate",0.00129470811668186,0.502595103494721,0.00728454123988861,0.648944694627236,0.00728454123988861,0.648944694627236,0.0382438415094152,0.820088398722661,0.00050534283090744,0.315082823550845,0.00277572631130089,0.530754551974635
"X3.Indoxylsulfate",0.0555806919992142,0.594036325242523,0.0778129687988999,0.719697855582287,0.0778129687988999,0.719697855582287,0.108863018155849,0.871540124032095,0.00536221227810358,0.352217343312813,0.00779594758905835,0.556423072450258
"X4.Hydroxyphenylacetate",0.184366098151341,0.62363652143919,0.215093781176564,0.741303789635263,0.215093781176564,0.741303789635263,0.250942744705992,0.871540124032095,0.0149450084902675,0.363390235788478,0.0182079026827218,0.563710970031591
"Acetate",0.00412459971016517,0.970564994476884,0.0136763043021266,0.970564994476884,0.0136763043021266,0.970564994476884,0.0453477458438935,0.970564994476884,0.000942874319159575,0.47044227934348,0.00313798544751234,0.628480716499862
"Acetone",0.504235359888644,0.157292874574944,0.529447127883076,0.353560622874374,0.529447127883076,0.353560622874374,0.55591948427723,0.699355892225191,0.0365312526305165,0.162192871856626,0.0400084743295402,0.444391411016472
"Adipate",0.000412128127332416,0.937978812608946,0.00695683847430182,0.955310012030972,0.00695683847430182,0.955310012030972,0.0382438415094152,0.970564994476884,0.000483370600001281,0.46194376786926,0.00277572631130089,0.624774150004612
"Alanine",0.00130984107831487,0.174114618471196,0.00728454123988861,0.353845837538237,0.00728454123988861,0.353845837538237,0.0382438415094152,0.699355892225191,0.000505480293245351,0.167828910024228,0.00277572631130089,0.444391411016472
"Asparagine",0.00757002476520091,0.0483514273455984,0.0210033081755601,0.207252434894645,0.0210033081755601,0.207252434894645,0.0461264927870655,0.699355892225191,0.00132278998332341,0.0987167968887049,0.00333101659341978,0.444391411016472
"Betaine",0.00345406497073732,0.0319939143962651,0.0120892273975806,0.194492718430502,0.0120892273975806,0.194492718430502,0.0423122958915321,0.699355892225191,0.000839975963551018,0.0910790461609087,0.00307101348510609,0.444391411016472
"Carnitine",0.0350970588485771,0.0339590460751671,0.05669524890924,0.194492718430502,0.05669524890924,0.194492718430502,0.0915846328533877,0.699355892225191,0.00382751050540797,0.0923005844285359,0.00630914913382138,0.444391411016472
"Citrate",0.0895013675188778,0.00406501116503766,0.114537965644374,0.0853652344657908,0.114537965644374,0.0853652344657908,0.144317836711912,0.699355892225191,0.00784080189945049,0.0407953138379034,0.0104339632212031,0.444391411016472
"Creatine",0.000796156075258502,0.216832180805201,0.00728454123988861,0.401777276197873,0.00728454123988861,0.401777276197873,0.0382438415094152,0.70690592077813,0.00049800246098623,0.188446485321184,0.00277572631130089,0.449760083470768
"Creatinine",0.0091240545133011,0.127694881995522,0.0219553101004286,0.317154217772852,0.0219553101004286,0.317154217772852,0.0461264927870655,0.699355892225191,0.00144119395812681,0.150358362497439,0.00334768374836608,0.444391411016472
"Dimethylamine",0.00278811000033344,0.11331051725286,0.0113435065574693,0.310372286388268,0.0113435065574693,0.310372286388268,0.0420377007717981,0.699355892225191,0.000754069969160194,0.144377746154616,0.0030387927710387,0.444391411016472
"Ethanolamine",0.0474594303517669,0.130889042255463,0.0711891455276504,0.317154217772852,0.0711891455276504,0.317154217772852,0.106783718291476,0.699355892225191,0.0047981278215655,0.151565282166983,0.00736253334480884,0.444391411016472
"Formate",0.0076678744132997,0.000428029756180838,0.0210033081755601,0.0269658746393928,0.0210033081755601,0.0269658746393928,0.0461264927870655,0.699355892225191,0.00133098272170784,0.0128867603505316,0.00333101659341978,0.444391411016472
"Fucose",0.0188981505936642,0.379208075005702,0.0330717635389123,0.542957016485437,0.0330717635389123,0.542957016485437,0.0578755861930965,0.777415728149603,0.00229787111544355,0.257660816859374,0.0042005923316723,0.486217583022617
"Fumarate",0.0312875662282843,0.878761706314308,0.0518714913784713,0.922699791630024,0.0518714913784713,0.922699791630024,0.0859974725485183,0.968834781211525,0.00349685905302224,0.445780657290217,0.00592213804222176,0.616597269357039
"Glucose",0.00119202129335437,0.322997644267518,0.00728454123988861,0.482491342753327,0.00728454123988861,0.482491342753327,0.0382438415094152,0.70690592077813,0.000504320218030073,0.229629642077627,0.00277572631130089,0.456805235977555
"Glutamine",0.000766683948811976,0.0885631374429318,0.00728454123988861,0.278973882945235,0.00728454123988861,0.278973882945235,0.0382438415094152,0.699355892225191,0.000497281369282147,0.131411595086715,0.00277572631130089,0.444391411016472
"Glycine",0.0267070477701657,0.0170682375121502,0.0454741624194714,0.172389180336377,0.0454741624194714,0.172389180336377,0.0774289792547756,0.699355892225191,0.00307685505639627,0.0773056485813048,0.00537679329896505,0.444391411016472
"Glycolate",0.0523021856280266,0.0218906895665241,0.0766287835945506,0.172389180336377,0.0766287835945506,0.172389180336377,0.108863018155849,0.699355892225191,0.00514082124093355,0.0823833116384129,0.00772046408454777,0.444391411016472
"Guanidoacetate",0.0138552000419689,0.459538870244925,0.0263296759853074,0.629368452726745,0.0263296759853074,0.629368452726745,0.0487873407963049,0.820088398722661,0.0018038448841427,0.296082352770827,0.00354097026245043,0.523119268974234
"Hippurate",0.0721845721120495,0.940146361046353,0.094742250897065,0.955310012030972,0.094742250897065,0.955310012030972,0.124349204302398,0.970564994476884,0.00658282046230521,0.4625175264615,0.00902522718818716,0.624774150004612
"Histidine",0.00904294868836233,0.00139591835722419,0.0219553101004286,0.0439714282525621,0.0219553101004286,0.0439714282525621,0.0461264927870655,0.699355892225191,0.001435579825317,0.0210135686581283,0.00334768374836608,0.444391411016472
"Hypoxanthine",0.534503277826268,0.312544489061773,0.552027975459917,0.482491342753327,0.552027975459917,0.482491342753327,0.570127253343848,0.70690592077813,0.0383793307350198,0.226252104041178,0.041412493753724,0.456805235977555
"Isoleucine",0.286524695208713,0.254382383410495,0.322340282109802,0.440200861472946,0.322340282109802,0.440200861472946,0.362632817373528,0.70690592077813,0.0222922979426381,0.204954319890142,0.0261642553979653,0.453408769856504
"Lactate",0.00263051808607793,0.708707030649348,0.0113435065574693,0.788536302695705,0.0113435065574693,0.788536302695705,0.0420377007717981,0.871540124032095,0.000732766394605069,0.393456712994081,0.0030387927710387,0.578837893466437
"Leucine",0.00300466783481251,0.290555067756001,0.0113435065574693,0.469358186375079,0.0113435065574693,0.469358186375079,0.0420377007717981,0.70690592077813,0.000781400327027506,0.218728683468537,0.0030387927710387,0.455810758569374
"Lysine",0.0102149067444807,0.0830046697008412,0.0219649965652693,0.275226010060684,0.0219649965652693,0.275226010060684,0.0461264927870655,0.699355892225191,0.0015115782097524,0.127889987770427,0.00334784672835671,0.444391411016472
"Methylamine",0.0580383336905458,0.314754162042897,0.0794872830979214,0.482491342753327,0.0794872830979214,0.482491342753327,0.108863018155849,0.70690592077813,0.00552288454956113,0.226976308690214,0.00790124453759238,0.456805235977555
"Methylguanidine",0.123427612169413,0.329319487911001,0.149537299359096,0.482491342753327,0.149537299359096,0.482491342753327,0.181170189608136,0.70690592077813,0.0103640222916853,0.231614199035418,0.0131076318004198,0.456805235977555
"N.N.Dimethylglycine",0.00306094621392029,0.0119863696923424,0.0113435065574693,0.151028258123515,0.0113435065574693,0.151028258123515,0.0420377007717981,0.699355892225191,0.00078816226523826,0.0691081538791079,0.0030387927710387,0.444391411016472
"O.Acetylcarnitine",0.0555419697623803,0.020130877807038,0.0778129687988999,0.172389180336377,0.0778129687988999,0.172389180336377,0.108863018155849,0.699355892225191,0.00535964515594953,0.0807424245464893,0.00779594758905835,0.444391411016472
"Pantothenate",0.77636970716398,0.85529720344329,0.788891799215012,0.913283454524191,0.788891799215012,0.913283454524191,0.801615860492673,0.968834781211525,0.0547946297447792,0.439104237850934,0.0581484862374752,0.614169430789658
"Pyroglutamate",0.00123515979463954,0.261560765055284,0.00728454123988861,0.440200861472946,0.00728454123988861,0.440200861472946,0.0382438415094152,0.70690592077813,0.000504770016274343,0.207839652418905,0.00277572631130089,0.453408769856504
"Pyruvate",0.0142096664047691,0.43777676483642,0.0263296759853074,0.612887470770988,0.0263296759853074,0.612887470770988,0.0487873407963049,0.820088398722661,0.00182942170152005,0.28607208852765,0.00354097026245043,0.516495899332942
"Quinolinate",0.000441704030114401,0.162750127989791,0.00695683847430182,0.353560622874374,0.00695683847430182,0.353560622874374,0.0382438415094152,0.699355892225191,0.000483370600001281,0.164105574627328,0.00277572631130089,0.444391411016472
"Serine",0.00212207931342892,0.180433467784983,0.010283922826617,0.355228389701685,0.010283922826617,0.355228389701685,0.0420377007717981,0.699355892225191,0.000654398826486481,0.169760602576693,0.00298645583749776,0.444391411016472
"Succinate",0.0133559830784376,0.0284830428722248,0.0263296759853074,0.194492718430502,0.0263296759853074,0.194492718430502,0.0487873407963049,0.699355892225191,0.00176683222270782,0.088581922181304,0.00354097026245043,0.444391411016472
"Sucrose",0.0174582463956692,0.799456796013951,0.0314248435122046,0.868375485325498,0.0314248435122046,0.868375485325498,0.0565647183219683,0.943235440957007,0.00215963735875717,0.422549829303819,0.00404632150770192,0.602154522839702
"Tartrate",0.480389305796741,0.265517979936063,0.512958072291436,0.440200861472946,0.512958072291436,0.440200861472946,0.547734890751872,0.70690592077813,0.0350517241529485,0.209396566107052,0.0389702069568101,0.453408769856504
"Taurine",0.0704218500382067,0.112932111226071,0.0943952457958941,0.310372286388268,0.0943952457958941,0.310372286388268,0.124349204302398,0.699355892225191,0.00645558745685901,0.144207126726692,0.00900070198680128,0.444391411016472
"Threonine",0.0140671770891568,0.0655763134885373,0.0263296759853074,0.243018102928109,0.0263296759853074,0.243018102928109,0.0487873407963049,0.699355892225191,0.00181920894417001,0.114856243864494,0.00354097026245043,0.444391411016472
"Trigonelline",0.142515982713533,0.213342935289135,0.16940579077269,0.401777276197873,0.16940579077269,0.401777276197873,0.201369147522254,0.70690592077813,0.0117705447714459,0.186779657971846,0.0146153110932683,0.449760083470768
"Trimethylamine.N.oxide",0.00707697472841177,0.685505788468108,0.0210033081755601,0.785215721336196,0.0210033081755601,0.785215721336196,0.0461264927870655,0.871540124032095,0.00127978174494378,0.385542027920493,0.00333101659341978,0.577808791107542
"Tryptophan",0.0104595221739378,0.0466848928178549,0.0219649965652693,0.207252434894645,0.0219649965652693,0.207252434894645,0.0461264927870655,0.699355892225191,0.00152615783850665,0.0981421637198846,0.00334784672835671,0.444391411016472
"Tyrosine",0.00825715495173678,0.00893618387068837,0.021675031748309,0.140744895963342,0.021675031748309,0.140744895963342,0.0461264927870655,0.699355892225191,0.00137810768667617,0.0616175957332952,0.00334291187076451,0.444391411016472
"Uracil",0.812957614746426,0.484513333337928,0.812957614746426,0.648944694627236,0.812957614746426,0.648944694627236,0.812957614746426,0.820088398722661,0.0572291485590338,0.307229805157676,0.0598162490907073,0.530754551974635
"Valine",0.00138753166474069,0.0633709275319708,0.00728454123988861,0.243018102928109,0.00728454123988861,0.243018102928109,0.0382438415094152,0.699355892225191,0.000506139833900975,0.112948354509386,0.00277572631130089,0.444391411016472
"Xylose",0.0010704244487973,0.713437607200876,0.00728454123988861,0.788536302695705,0.00728454123988861,0.788536302695705,0.0382438415094152,0.871540124032095,0.000502862753298734,0.395045504836149,0.00277572631130089,0.578837893466437
"cis.Aconitate",0.000425135550472419,0.0493458178320584,0.00695683847430182,0.207252434894645,0.00695683847430182,0.207252434894645,0.0382438415094152,0.699355892225191,0.000483370600001281,0.0990441621593028,0.00277572631130089,0.444391411016472
"myo.Inositol",0.0469347545825487,0.516558578182578,0.0711891455276504,0.650863808510049,0.0711891455276504,0.650863808510049,0.106783718291476,0.820088398722661,0.00475981999061298,0.321026468006279,0.00736253334480884,0.531489921665673
"trans.Aconitate",0.0909031473368049,0.161570234036375,0.114537965644374,0.353560622874374,0.114537965644374,0.353560622874374,0.144317836711912,0.699355892225191,0.00793831621124637,0.163699244571268,0.0104339632212031,0.444391411016472
"pi.Methylhistidine",0.0986036193201604,0.50473476248785,0.121804470924904,0.648944694627236,0.121804470924904,0.648944694627236,0.150464346436646,0.820088398722661,0.00846314032031888,0.316000325370064,0.0109206562111202,0.530754551974635
"tau.Methylhistidine",0.0101201630229301,0.0429699835147665,0.0219649965652693,0.207252434894645,0.0219649965652693,0.207252434894645,0.0461264927870655,0.699355892225191,0.00150581968928941,0.0967298276180832,0.00334784672835671,0.444391411016472
